PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2014-1-1,67,52,36,,,,,,,,,,,,,,,,0.00,,,
2014-1-2,66,53,39,,,,,,,,,,,,,,,,0.00,,,
2014-1-3,69,54,38,,,,,,,,,,,,,,,,0.00,,,
2014-1-4,66,51,36,,,,,,,,,,,,,,,,0.00,,,
2014-1-5,71,55,38,,,,,,,,,,,,,,,,0.00,,,
2014-1-6,75,57,38,,,,,,,,,,,,,,,,0.00,,,
2014-1-7,68,55,42,,,,,,,,,,,,,,,,0.00,,,
2014-1-8,65,50,34,,,,,,,,,,,,,,,,0.00,,,
2014-1-9,65,51,37,,,,,,,,,,,,,,,,0.00,,,
2014-1-10,66,51,35,,,,,,,,,,,,,,,,0.00,,,
2014-1-11,68,54,39,,,,,,,,,,,,,,,,0.00,,,
2014-1-12,68,53,37,,,,,,,,,,,,,,,,0.00,,,
2014-1-13,76,61,46,,,,,,,,,,,,,,,,0.00,,,
2014-1-14,76,61,45,,,,,,,,,,,,,,,,0.00,,,
2014-1-15,82,65,48,,,,,,,,,,,,,,,,0.00,,,
2014-1-16,78,61,44,,,,,,,,,,,,,,,,0.00,,,
2014-1-17,84,65,45,,,,,,,,,,,,,,,,0.00,,,
2014-1-18,78,58,38,,,,,,,,,,,,,,,,0.00,,,
2014-1-19,74,57,39,,,,,,,,,,,,,,,,0.00,,,
2014-1-20,72,55,38,,,,,,,,,,,,,,,,0.00,,,
2014-1-21,73,55,37,,,,,,,,,,,,,,,,0.00,,,
2014-1-22,66,49,32,,,,,,,,,,,,,,,,0.00,,,
2014-1-23,74,56,37,,,,,,,,,,,,,,,,0.00,,,
2014-1-24,72,64,56,,,,,,,,,,,,,,,,0.00,,,
2014-1-25,75,64,53,,,,,,,,,,,,,,,,0.00,,,
2014-1-26,80,62,43,,,,,,,,,,,,,,,,0.00,,,
2014-1-27,69,55,40,,,,,,,,,,,,,,,,0.00,,,
2014-1-28,75,60,44,,,,,,,,,,,,,,,,0.00,,,
2014-1-29,77,62,47,,,,,,,,,,,,,,,,0.00,,,
2014-1-30,73,59,45,,,,,,,,,,,,,,,,0.00,,,
2014-1-31,80,67,54,,,,,,,,,,,,,,,,0.00,,,
2014-2-1,72,61,49,,,,,,,,,,,,,,,,0.00,,,
2014-2-2,68,55,41,,,,,,,,,,,,,,,,0.00,,,
2014-2-3,64,52,40,,,,,,,,,,,,,,,,0.00,,,
2014-2-4,68,54,39,,,,,,,,,,,,,,,,0.00,,,
2014-2-5,66,53,39,,,,,,,,,,,,,,,,0.00,,,
2014-2-6,69,56,42,,,,,,,,,,,,,,,,0.00,,,
2014-2-7,68,57,45,,,,,,,,,,,,,,,,0.00,,,
2014-2-8,69,57,44,,,,,,,,,,,,,,,,0.00,,,
2014-2-9,70,57,44,,,,,,,,,,,,,,,,0.00,,,
2014-2-10,77,63,49,,,,,,,,,,,,,,,,0.00,,,
2014-2-11,84,70,55,,,,,,,,,,,,,,,,0.00,,,
2014-2-12,81,63,45,,,,,,,,,,,,,,,,0.00,,,
2014-2-13,73,60,46,,,,,,,,,,,,,,,,0.00,,,
2014-2-14,80,64,47,,,,,,,,,,,,,,,,0.00,,,
2014-2-15,82,65,47,,,,,,,,,,,,,,,,0.00,,,
2014-2-16,75,62,49,,,,,,,,,,,,,,,,0.00,,,
2014-2-17,86,68,50,,,,,,,,,,,,,,,,0.00,,,
2014-2-18,82,66,49,,,,,,,,,,,,,,,,0.00,,,
2014-2-19,83,65,47,,,,,,,,,,,,,,,,0.00,,,
2014-2-20,86,73,60,,,,,,,,,,,,,,,,0.00,,,
2014-2-21,80,65,49,,,,,,,,,,,,,,,,0.00,,,
2014-2-22,81,65,48,,,,,,,,,,,,,,,,0.00,,,
2014-2-23,84,68,52,,,,,,,,,,,,,,,,0.00,,,
2014-2-24,85,69,52,,,,,,,,,,,,,,,,0.00,,,
2014-2-25,86,69,52,,,,,,,,,,,,,,,,0.00,,,
2014-2-26,87,71,54,,,,,,,,,,,,,,,,0.00,,,
2014-2-27,84,73,61,,,,,,,,,,,,,,,,0.00,,,
2014-2-28,86,74,62,,,,,,,,,,,,,,,,0.00,,,
2014-3-1,66,61,56,,,,,,,,,,,,,,,,0.36,,,
2014-3-2,72,62,51,,,,,,,,,,,,,,,,0.00,,,
2014-3-3,71,61,51,,,,,,,,,,,,,,,,0.00,,,
2014-3-4,76,67,57,,,,,,,,,,,,,,,,0.00,,,
2014-3-5,84,71,58,,,,,,,,,,,,,,,,0.00,,,
2014-3-6,84,71,57,,,,,,,,,,,,,,,,0.00,,,
2014-3-7,88,77,66,,,,,,,,,,,,,,,,0.00,,,
2014-3-8,83,73,62,,,,,,,,,,,,,,,,0.00,,,
2014-3-9,86,71,56,,,,,,,,,,,,,,,,0.00,,,
2014-3-10,88,73,57,,,,,,,,,,,,,,,,0.00,,,
2014-3-11,88,75,61,,,,,,,,,,,,,,,,0.00,,,
2014-3-12,81,70,59,,,,,,,,,,,,,,,,0.00,,,
2014-3-13,80,67,54,,,,,,,,,,,,,,,,0.00,,,
2014-3-14,87,72,56,,,,,,,,,,,,,,,,0.00,,,
2014-3-15,90,74,58,,,,,,,,,,,,,,,,0.00,,,
2014-3-16,92,76,59,,,,,,,,,,,,,,,,0.00,,,
2014-3-17,93,76,58,,,,,,,,,,,,,,,,0.00,,,
2014-3-18,93,77,61,,,,,,,,,,,,,,,,0.00,,,
2014-3-19,80,68,56,,,,,,,,,,,,,,,,0.00,,,
2014-3-20,84,68,52,,,,,,,,,,,,,,,,0.00,,,
2014-3-21,85,70,54,,,,,,,,,,,,,,,,0.00,,,
2014-3-22,90,74,57,,,,,,,,,,,,,,,,0.00,,,
2014-3-23,92,77,62,,,,,,,,,,,,,,,,0.00,,,
2014-3-24,92,77,62,,,,,,,,,,,,,,,,0.00,,,
2014-3-25,96,77,57,,,,,,,,,,,,,,,,0.00,,,
2014-3-26,96,79,62,,,,,,,,,,,,,,,,0.00,,,
2014-3-27,87,73,59,,,,,,,,,,,,,,,,0.00,,,
2014-3-28,79,68,57,,,,,,,,,,,,,,,,0.00,,,
2014-3-29,85,71,56,,,,,,,,,,,,,,,,0.00,,,
2014-3-30,93,79,64,,,,,,,,,,,,,,,,0.00,,,
2014-3-31,85,73,61,,,,,,,,,,,,,,,,0.00,,,
2014-4-1,87,73,58,,,,,,,,,,,,,,,,0.00,,,
2014-4-2,80,69,58,,,,,,,,,,,,,,,,0.00,,,
2014-4-3,75,62,49,,,,,,,,,,,,,,,,0.00,,,
2014-4-4,80,69,57,,,,,,,,,,,,,,,,0.00,,,
2014-4-5,85,71,56,,,,,,,,,,,,,,,,0.00,,,
2014-4-6,89,76,63,,,,,,,,,,,,,,,,0.00,,,
2014-4-7,93,84,74,,,,,,,,,,,,,,,,0.00,,,
2014-4-8,97,79,61,,,,,,,,,,,,,,,,0.00,,,
2014-4-9,100,85,69,,,,,,,,,,,,,,,,0.00,,,
2014-4-10,101,85,68,,,,,,,,,,,,,,,,0.00,,,
2014-4-11,102,87,72,,,,,,,,,,,,,,,,0.00,,,
2014-4-12,103,91,78,,,,,,,,,,,,,,,,0.00,,,
2014-4-13,102,89,75,,,,,,,,,,,,,,,,0.00,,,
2014-4-14,100,86,71,,,,,,,,,,,,,,,,0.00,,,
2014-4-15,93,78,62,,,,,,,,,,,,,,,,0.00,,,
2014-4-16,95,80,64,,,,,,,,,,,,,,,,0.00,,,
2014-4-17,103,87,70,,,,,,,,,,,,,,,,0.00,,,
2014-4-18,104,92,79,,,,,,,,,,,,,,,,0.00,,,
2014-4-19,97,87,76,,,,,,,,,,,,,,,,0.00,,,
2014-4-20,100,88,76,,,,,,,,,,,,,,,,0.00,,,
2014-4-21,102,88,73,,,,,,,,,,,,,,,,0.00,,,
2014-4-22,105,90,75,,,,,,,,,,,,,,,,0.00,,,
2014-4-23,95,80,65,,,,,,,,,,,,,,,,0.00,,,
2014-4-24,90,75,60,,,,,,,,,,,,,,,,0.00,,,
2014-4-25,97,84,70,,,,,,,,,,,,,,,,0.00,,,
2014-4-26,91,75,58,,,,,,,,,,,,,,,,0.11,,,
2014-4-27,83,71,58,,,,,,,,,,,,,,,,0.00,,,
2014-4-28,88,75,61,,,,,,,,,,,,,,,,0.00,,,
2014-4-29,92,81,70,,,,,,,,,,,,,,,,0.00,,,
2014-4-30,98,85,71,,,,,,,,,,,,,,,,0.00,,,
2014-5-1,96,83,70,,,,,,,,,,,,,,,,0.00,,,
2014-5-2,101,85,69,,,,,,,,,,,,,,,,0.00,,,
2014-5-3,107,90,72,,,,,,,,,,,,,,,,0.00,,,
2014-5-4,112,98,83,,,,,,,,,,,,,,,,0.00,,,
2014-5-5,107,94,80,,,,,,,,,,,,,,,,0.00,,,
2014-5-6,95,73,51,,,,,,,,,,,,,,,,0.00,,,
2014-5-7,81,66,51,,,,,,,,,,,,,,,,0.02,,,
2014-5-8,91,79,66,,,,,,,,,,,,,,,,0.00,,,
2014-5-9,95,84,73,,,,,,,,,,,,,,,,0.00,,,
2014-5-10,98,85,71,,,,,,,,,,,,,,,,0.00,,,
2014-5-11,99,82,64,,,,,,,,,,,,,,,,0.00,,,
2014-5-12,90,77,64,,,,,,,,,,,,,,,,0.00,,,
2014-5-13,97,87,77,,,,,,,,,,,,,,,,0.00,,,
2014-5-14,99,83,67,,,,,,,,,,,,,,,,0.00,,,
2014-5-15,103,87,70,,,,,,,,,,,,,,,,0.00,,,
2014-5-16,110,93,75,,,,,,,,,,,,,,,,0.00,,,
2014-5-17,113,96,79,,,,,,,,,,,,,,,,0.00,,,
2014-5-18,115,99,82,,,,,,,,,,,,,,,,0.00,,,
2014-5-19,110,92,74,,,,,,,,,,,,,,,,0.00,,,
2014-5-20,102,88,73,,,,,,,,,,,,,,,,0.00,,,
2014-5-21,90,78,66,,,,,,,,,,,,,,,,0.00,,,
2014-5-22,89,78,67,,,,,,,,,,,,,,,,0.00,,,
2014-5-23,97,83,69,,,,,,,,,,,,,,,,0.00,,,
2014-5-24,103,91,78,,,,,,,,,,,,,,,,0.00,,,
2014-5-25,109,95,80,,,,,,,,,,,,,,,,0.00,,,
2014-5-26,111,96,81,,,,,,,,,,,,,,,,0.00,,,
2014-5-27,116,102,88,,,,,,,,,,,,,,,,0.00,,,
2014-5-28,117,102,87,,,,,,,,,,,,,,,,0.00,,,
2014-5-29,112,94,76,,,,,,,,,,,,,,,,0.00,,,
2014-5-30,108,94,80,,,,,,,,,,,,,,,,0.00,,,
2014-5-31,113,95,76,,,,,,,,,,,,,,,,0.00,,,
2014-6-1,112,94,76,,,,,,,,,,,,,,,,0.00,,,
2014-6-2,109,97,84,,,,,,,,,,,,,,,,0.00,,,
2014-6-3,111,96,80,,,,,,,,,,,,,,,,0.00,,,
2014-6-4,109,94,79,,,,,,,,,,,,,,,,0.00,,,
2014-6-5,112,95,77,,,,,,,,,,,,,,,,0.00,,,
2014-6-6,115,100,85,,,,,,,,,,,,,,,,0.00,,,
2014-6-7,116,101,85,,,,,,,,,,,,,,,,0.00,,,
2014-6-8,118,101,83,,,,,,,,,,,,,,,,0.00,,,
2014-6-9,120,101,82,,,,,,,,,,,,,,,,0.00,,,
2014-6-10,120,105,90,,,,,,,,,,,,,,,,0.00,,,
2014-6-11,119,104,88,,,,,,,,,,,,,,,,0.00,,,
2014-6-12,115,102,89,,,,,,,,,,,,,,,,0.00,,,
2014-6-13,117,101,84,,,,,,,,,,,,,,,,0.00,,,
2014-6-14,114,98,82,,,,,,,,,,,,,,,,0.00,,,
2014-6-15,106,94,81,,,,,,,,,,,,,,,,0.00,,,
2014-6-16,109,95,81,,,,,,,,,,,,,,,,0.00,,,
2014-6-17,108,93,78,,,,,,,,,,,,,,,,0.00,,,
2014-6-18,104,90,75,,,,,,,,,,,,,,,,0.00,,,
2014-6-19,103,88,72,,,,,,,,,,,,,,,,0.00,,,
2014-6-20,112,93,74,,,,,,,,,,,,,,,,0.00,,,
2014-6-21,115,99,83,,,,,,,,,,,,,,,,0.00,,,
2014-6-22,115,102,89,,,,,,,,,,,,,,,,0.00,,,
2014-6-23,115,99,83,,,,,,,,,,,,,,,,0.00,,,
2014-6-24,116,101,86,,,,,,,,,,,,,,,,0.00,,,
2014-6-25,117,101,84,,,,,,,,,,,,,,,,0.00,,,
2014-6-26,115,102,89,,,,,,,,,,,,,,,,0.00,,,
2014-6-27,109,93,77,,,,,,,,,,,,,,,,0.00,,,
2014-6-28,112,98,84,,,,,,,,,,,,,,,,0.00,,,
2014-6-29,116,103,89,,,,,,,,,,,,,,,,0.00,,,
2014-6-30,120,106,91,,,,,,,,,,,,,,,,0.00,,,
2014-7-1,123,106,89,,,,,,,,,,,,,,,,0.00,,,
2014-7-2,125,109,92,,,,,,,,,,,,,,,,0.00,,,
2014-7-3,123,109,95,,,,,,,,,,,,,,,,0.00,,,
2014-7-4,121,107,92,,,,,,,,,,,,,,,,0.00,,,
2014-7-5,118,106,93,,,,,,,,,,,,,,,,0.00,,,
2014-7-6,119,104,88,,,,,,,,,,,,,,,,0.00,,,
2014-7-7,119,102,85,,,,,,,,,,,,,,,,0.00,,,
2014-7-8,119,105,90,,,,,,,,,,,,,,,,0.00,,,
2014-7-9,119,106,93,,,,,,,,,,,,,,,,0.00,,,
