PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2014-1-1,56,49,41,,41,,85,73,55,,30.17,,,,,,1,10,0.00,,,280
2014-1-2,62,53,43,,39,,77,63,38,,30.11,,,,,,1,6,0.00,,,170
2014-1-3,64,54,44,,41,,83,66,39,,30.01,,,,,,4,16,0.00,,,290
2014-1-4,66,55,43,,41,,93,67,36,,30.02,,,,,,2,18,0.00,,,300
2014-1-5,66,55,44,,32,,66,41,25,,30.15,,,,,,5,15,0.00,,,70
2014-1-6,60,52,44,,40,,71,65,49,,30.21,,,,,,2,10,0.00,,,330
2014-1-7,61,54,46,,44,,87,71,55,,30.17,,,,,,4,17,0.00,,,270
2014-1-8,59,56,52,,49,,87,81,72,,30.20,,,,,,9,24,0.01,,,280
2014-1-9,60,56,52,,47,,89,76,60,,30.23,,,,,,12,31,0.00,,,280
2014-1-10,60,54,48,,46,,89,79,60,,30.23,,,,,,6,17,0.00,,,280
2014-1-11,58,52,46,,46,,90,84,72,,30.22,,,,,,6,22,0.00,,,260
2014-1-12,60,53,46,,42,,93,68,49,,30.33,,,,,,7,20,0.00,,,270
2014-1-13,67,55,42,,38,,71,51,28,,30.39,,,,,,3,22,0.00,,,60
2014-1-14,72,58,44,,37,,73,51,18,,30.38,,,,,,2,15,0.00,,,100
2014-1-15,73,61,48,,34,,66,42,17,,30.27,,,,,,3,13,0.00,,,130
2014-1-16,73,60,46,,35,,72,45,19,,30.17,,,,,,2,10,0.00,,,140
2014-1-17,67,56,45,,39,,77,56,36,,30.14,,,,,,1,7,0.00,,,190
2014-1-18,67,55,43,,39,,77,59,38,,30.11,,,,,,1,12,0.00,,,40
2014-1-19,67,55,43,,38,,74,56,32,,30.09,,,,,,2,7,0.00,,,10
2014-1-20,66,55,43,,41,,77,64,43,,30.17,,,,,,2,9,0.00,,,280
2014-1-21,68,56,43,,37,,77,55,20,,30.21,,,,,,2,13,0.00,,,280
2014-1-22,65,55,44,,41,,77,66,50,,30.04,,,,,,5,22,0.00,,,290
2014-1-23,69,57,44,,39,,83,54,21,,29.92,,,,,,5,21,0.00,,,50
2014-1-24,64,55,46,,42,,77,64,31,,30.15,,,,,,2,9,0.00,,,270
2014-1-25,65,57,48,,43,,83,62,37,,30.19,,,,,,2,13,0.00,,,280
2014-1-26,66,57,48,,43,,83,67,45,,30.09,,,,,,6,24,0.00,,,290
2014-1-27,59,54,48,,46,,83,76,64,,30.15,,,,,,6,20,0.00,,,290
2014-1-28,65,59,53,,52,,88,82,74,,30.22,,,,,,5,21,0.00,,,280
2014-1-29,63,59,54,,54,,93,88,80,,30.11,,,,,,8,22,0.00,,,280
2014-1-30,58,55,52,,,,93,82,75,,,,,,,,13,38,0.00,,,280
2014-1-31,60,54,47,,42,,86,69,41,,30.03,,,,,,12,38,0.00,,,280
2014-2-1,59,51,42,,40,,80,68,44,,30.12,,,,,,6,23,0.00,,,270
2014-2-2,58,53,47,,42,,86,76,61,,29.92,,,,,,12,33,0.85,,,120
2014-2-3,56,51,46,,41,,83,71,53,,30.04,,,,,,11,32,0.00,,,280
2014-2-4,55,50,44,,40,,80,71,51,,30.12,,,,,,7,23,0.00,,,280
2014-2-5,55,49,43,,41,,86,72,57,,30.15,,,,,,7,24,0.09,,,280
2014-2-6,52,50,48,,49,,100,94,78,,29.96,,,,,,7,23,0.64,,,120
2014-2-7,56,54,51,,51,,97,90,83,,30.03,,,,,,11,40,0.23,,,170
2014-2-8,59,56,53,,55,,100,94,83,,30.10,,,,,,13,37,0.42,,,210
2014-2-9,59,57,55,,56,,100,95,52,,30.12,,,,,,9,26,0.35,,,200
2014-2-10,57,54,51,,52,,100,95,87,,30.23,,,,,,10,20,0.00,,,280
2014-2-11,56,53,49,,49,,100,94,86,,30.22,,,,,,9,26,0.00,,,270
2014-2-12,56,51,46,,49,,100,95,83,,30.23,,,,,,6,22,0.00,,,280
2014-2-13,67,59,50,,53,,100,92,71,,30.16,,,,,,8,20,0.00,,,280
2014-2-14,66,61,56,,53,,97,81,60,,30.12,,,,,,5,16,0.00,,,260
2014-2-15,62,57,52,,52,,90,83,72,,30.02,,,,,,5,21,0.00,,,180
2014-2-16,63,57,50,,47,,89,71,44,,30.14,,,,,,8,23,0.01,,,270
2014-2-17,61,54,46,,45,,86,73,52,,30.15,,,,,,10,25,0.00,,,280
2014-2-18,62,55,48,,49,,93,81,67,,30.15,,,,,,8,25,0.00,,,280
2014-2-19,62,57,51,,48,,96,73,52,,30.16,,,,,,14,26,0.01,,,270
2014-2-20,67,56,45,,44,,86,68,43,,30.17,,,,,,6,22,0.00,,,280
2014-2-21,69,58,47,,46,,86,73,36,,30.06,,,,,,7,26,0.00,,,280
2014-2-22,66,56,46,,48,,93,82,63,,29.98,,,,,,9,28,0.00,,,280
2014-2-23,63,55,46,,47,,93,85,67,,29.99,,,,,,8,26,0.00,,,280
2014-2-24,71,58,45,,47,,89,75,42,,29.96,,,,,,6,21,0.00,,,290
2014-2-25,62,55,48,,48,,89,79,67,,29.95,,,,,,6,23,0.00,,,200
2014-2-26,60,57,54,,53,,93,85,69,,29.83,,,,,,15,39,0.43,,,180
2014-2-27,65,60,55,,52,,90,76,63,,29.77,,,,,,10,31,0.05,,,230
2014-2-28,61,58,54,,51,,96,83,65,,29.41,,,,,,15,31,0.68,,,120
2014-3-1,63,58,53,,53,,97,85,70,,29.62,,,,,,9,29,0.14,,,130
2014-3-2,60,56,52,,52,,100,88,70,,30.00,,,,,,6,22,0.03,,,230
2014-3-3,60,55,50,,51,,97,84,67,,30.10,,,,,,7,24,0.08,,,130
2014-3-4,62,58,53,,55,,100,92,84,,30.08,,,,,,4,17,0.00,,,130
2014-3-5,68,62,55,,55,,100,88,47,,30.06,,,,,,6,23,0.16,,,190
2014-3-6,63,59,54,,54,,100,88,70,,30.15,,,,,,8,16,0.00,,,270
2014-3-7,64,57,49,,50,,100,81,52,,30.15,,,,,,11,25,0.00,,,280
2014-3-8,67,58,48,,50,,100,78,54,,30.16,,,,,,6,18,0.00,,,290
2014-3-9,71,65,58,,52,,87,71,39,,30.13,,,,,,5,21,0.00,,,270
2014-3-10,66,61,55,,50,,93,73,56,,30.18,,,,,,11,25,0.00,,,280
2014-3-11,69,63,56,,38,,58,42,27,,30.09,,,,,,9,31,0.00,,,30
2014-3-12,72,65,58,,40,,50,43,32,,30.04,,,,,,17,43,0.00,,,30
2014-3-13,76,65,53,,45,,83,60,31,,30.03,,,,,,8,28,0.00,,,280
2014-3-14,69,61,53,,50,,86,74,59,,30.16,,,,,,10,25,0.00,,,280
2014-3-15,76,64,51,,51,,87,74,45,,30.27,,,,,,8,26,0.00,,,300
2014-3-16,68,60,51,,50,,89,77,56,,30.26,,,,,,12,43,0.00,,,270
2014-3-17,66,59,52,,47,,87,71,51,,30.09,,,,,,14,31,0.00,,,280
2014-3-18,71,60,48,,37,,83,46,22,,29.95,,,,,,5,24,0.00,,,280
2014-3-19,73,61,49,,42,,83,54,24,,30.04,,,,,,6,22,0.00,,,270
2014-3-20,69,60,51,,48,,83,72,55,,30.01,,,,,,11,31,0.00,,,270
2014-3-21,65,57,49,,46,,83,73,56,,29.98,,,,,,7,25,0.00,,,290
2014-3-22,65,56,47,,47,,83,74,56,,30.07,,,,,,8,22,0.00,,,290
2014-3-23,64,57,49,,47,,86,76,56,,30.13,,,,,,8,24,0.00,,,290
2014-3-24,71,60,48,,46,,97,69,42,,30.09,,,,,,11,26,0.00,,,270
2014-3-25,62,55,48,,49,,87,78,64,,29.95,,,,,,8,21,0.09,,,90
2014-3-26,62,58,53,,50,,87,77,65,,29.88,,,,,,11,29,0.36,,,260
2014-3-27,65,60,54,,48,,83,68,50,,30.07,,,,,,8,21,0.00,,,230
2014-3-28,71,63,55,,51,,84,70,49,,30.14,,,,,,9,29,0.00,,,210
2014-3-29,60,57,53,,52,,93,84,72,,30.06,,,,,,11,28,0.57,,,270
2014-3-30,61,56,50,,46,,86,70,52,,30.10,,,,,,9,28,0.01,,,270
2014-3-31,57,53,49,,45,,86,76,64,,29.92,,,,,,9,32,0.49,,,190
2014-4-1,59,54,48,,45,,93,82,64,,29.89,,,,,,9,36,0.62,,,200
2014-4-2,61,54,47,,45,,89,74,56,,30.04,,,,,,9,25,0.36,,,280
2014-4-3,64,57,49,,46,,86,72,48,,30.08,,,,,,6,24,0.00,,,240
2014-4-4,60,56,51,,48,,89,78,60,,30.03,,,,,,11,28,0.22,,,280
2014-4-5,63,57,50,,48,,89,73,58,,30.14,,,,,,13,33,0.00,,,270
2014-4-6,74,62,50,,51,,89,71,43,,30.17,,,,,,7,26,0.00,,,280
2014-4-7,82,69,55,,52,,84,63,38,,30.10,,,,,,6,24,0.00,,,280
2014-4-8,78,67,55,,54,,87,73,50,,30.07,,,,,,9,25,0.00,,,280
2014-4-9,64,58,51,,51,,93,83,67,,30.05,,,,,,14,29,0.00,,,290
2014-4-10,72,60,48,,51,,96,82,50,,29.97,,,,,,8,29,0.00,,,280
2014-4-11,64,59,53,,50,,93,80,68,,29.91,,,,,,10,23,0.00,,,300
2014-4-12,67,59,51,,49,,83,71,52,,29.91,,,,,,8,28,0.00,,,270
2014-4-13,71,63,54,,50,,90,74,55,,30.01,,,,,,10,30,0.00,,,280
2014-4-14,68,60,52,,51,,93,82,65,,30.07,,,,,,12,31,0.00,,,280
2014-4-15,65,59,52,,49,,89,74,59,,29.99,,,,,,10,29,0.00,,,280
2014-4-16,73,63,52,,49,,83,68,46,,29.88,,,,,,12,32,0.00,,,270
2014-4-17,64,59,53,,49,,87,73,56,,29.86,,,,,,17,36,0.00,,,270
2014-4-18,63,58,52,,48,,86,73,60,,29.92,,,,,,14,30,0.00,,,280
2014-4-19,63,57,51,,49,,90,76,56,,30.08,,,,,,13,29,0.00,,,260
2014-4-20,79,65,51,,48,,89,66,31,,30.11,,,,,,10,31,0.00,,,270
2014-4-21,69,61,52,,48,,81,68,47,,30.04,,,,,,13,29,0.00,,,290
2014-4-22,63,58,52,,44,,86,64,41,,30.09,,,,,,23,41,0.04,,,270
2014-4-23,66,59,52,,45,,84,64,46,,30.12,,,,,,15,38,0.00,,,280
2014-4-24,67,61,55,,53,,90,78,57,,30.06,,,,,,11,29,0.00,,,270
2014-4-25,60,56,52,,50,,100,80,75,,29.87,,,,,,13,36,0.37,,,270
2014-4-26,62,56,49,,43,,83,63,46,,30.00,,,,,,15,37,0.00,,,270
2014-4-27,64,59,53,,49,,84,72,58,,30.09,,,,,,13,32,0.00,,,280
2014-4-28,69,61,52,,46,,86,62,37,,30.19,,,,,,11,33,0.00,,,280
2014-4-29,86,70,54,,46,,72,48,22,,30.13,,,,,,6,21,0.00,,,280
