AKST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2014-7-1,64,57,50,,51,,96,81,58,,29.96,,,,,,3,13,0.00,,,110
2014-7-2,71,63,54,,52,,96,79,51,,29.75,,,,,,5,23,0.14,,,230
2014-7-3,64,59,53,,52,,97,83,72,,29.85,,,,,,5,21,0.01,,,210
2014-7-4,59,56,52,,52,,96,88,75,,29.88,,,,,,3,13,0.07,,,210
2014-7-5,69,59,49,,49,,96,69,49,,29.82,,,,,,8,22,0.00,,,120
2014-7-6,62,59,56,,50,,93,72,58,,30.07,,,,,,7,29,0.00,,,100
2014-7-7,61,58,54,,53,,96,88,60,,30.06,,,,,,7,25,0.18,,,190
2014-7-8,56,55,54,,53,,100,94,81,,30.06,,,,,,6,23,1.02,,,190
2014-7-9,58,56,54,,53,,97,94,83,,30.19,,,,,,4,19,0.13,,,290
2014-7-10,61,57,53,,52,,97,87,75,,30.13,,,,,,4,31,0.03,,,230
2014-7-11,57,56,54,,54,,100,94,87,,30.01,,,,,,5,21,1.30,,,190
2014-7-12,59,58,56,,56,,100,97,90,,30.08,,,,,,8,26,0.30,,,200
2014-7-13,58,57,56,,56,,100,97,96,,30.22,,,,,,3,12,0.29,,,200
2014-7-14,61,58,55,,55,,100,91,83,,30.22,,,,,,8,20,0.01,,,310
2014-7-15,64,59,54,,51,,96,77,65,,30.25,,,,,,12,21,0.00,,,330
2014-7-16,61,56,51,,49,,90,76,64,,30.22,,,,,,6,18,0.00,,,280
2014-7-17,59,55,51,,50,,93,85,75,,30.03,,,,,,3,11,0.11,,,240
2014-7-18,63,58,52,,51,,97,84,67,,29.70,,,,,,5,14,0.07,,,230
2014-7-19,60,57,54,,52,,93,87,75,,29.83,,,,,,3,15,0.00,,,310
2014-7-20,58,55,52,,52,,97,89,78,,29.84,,,,,,5,20,0.31,,,190
2014-7-21,69,60,51,,51,,97,75,53,,29.90,,,,,,5,13,0.00,,,310
2014-7-22,63,60,56,,54,,97,84,78,,30.03,,,,,,4,17,0.00,,,220
2014-7-23,62,59,56,,52,,87,79,72,,30.03,,,,,,3,12,0.00,,,230
2014-7-24,59,57,54,,52,,93,84,78,,29.92,,,,,,5,28,0.07,,,200
2014-7-25,58,55,52,,53,,100,93,81,,29.87,,,,,,4,18,0.54,,,130
2014-7-26,58,56,54,,55,,100,96,87,,29.91,,,,,,6,24,0.66,,,200
2014-7-27,61,58,55,,54,,97,90,78,,30.05,,,,,,4,17,0.22,,,220
2014-7-28,59,56,52,,54,,97,93,90,,30.00,,,,,,4,21,0.61,,,230
2014-7-29,61,56,50,,52,,97,89,75,,30.02,,,,,,5,21,0.38,,,210
2014-7-30,61,57,53,,53,,93,87,78,,30.24,,,,,,2,9,0.08,,,100
2014-7-31,67,59,50,,53,,100,83,65,,30.28,,,,,,4,14,0.00,,,290
