AKST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2014-1-1,46,42,38,,38,,97,84,77,,29.78,,,,,,13,36,0.86,,,110
2014-1-2,41,38,35,,35,,96,88,76,,29.88,,,,,,6,22,0.34,,,120
2014-1-3,40,37,33,,36,,100,97,89,,30.32,,,,,,3,11,0.02,,,100
2014-1-4,43,39,34,,33,,97,80,63,,30.30,,,,,,8,26,0.00,,,100
2014-1-5,45,43,40,,35,,97,76,63,,30.04,,,,,,17,38,0.38,,,110
2014-1-6,44,43,41,,40,,97,92,68,,29.91,,,,,,5,21,0.51,,,100
2014-1-7,45,42,38,,40,,100,91,76,,29.72,,,,,,5,25,0.33,,,110
2014-1-8,45,42,39,,39,,97,92,71,,29.30,,,,,,5,22,0.44,,,100
2014-1-9,41,39,37,,35,,100,85,73,,29.40,,,,,,9,26,0.43,,,260
2014-1-10,41,36,30,,33,,97,93,83,,29.43,,,,,,5,18,0.24,,,230
2014-1-11,36,33,30,,32,,100,94,82,,29.23,,,,,,5,19,0.28,,,110
2014-1-12,43,39,34,,35,,96,81,68,,29.26,,,,,,17,39,0.24,,,260
2014-1-13,48,43,38,,37,,92,84,73,,29.82,,,,,,16,45,1.51,,,160
2014-1-14,48,45,42,,41,,97,85,68,,29.72,,,,,,18,45,3.56,,,250
2014-1-15,49,45,40,,38,,93,82,68,,30.22,,,,,,9,27,0.24,,,110
2014-1-16,51,48,45,,42,,90,82,71,,30.05,,,,,,13,41,0.29,,,170
2014-1-17,56,50,43,,35,,96,57,33,,29.82,,,,,,17,38,0.07,,,110
2014-1-18,51,46,40,,40,,97,88,74,,29.85,,,,,,11,35,0.68,,,200
2014-1-19,45,41,37,,35,,93,76,58,,30.11,,,,,,10,22,0.10,,,100
2014-1-20,46,44,41,,36,,96,76,66,,30.06,,,,,,12,30,0.34,,,100
2014-1-21,54,50,45,,35,,85,56,43,,29.94,,,,,,15,29,0.00,,,110
2014-1-22,55,51,47,,42,,86,76,63,,30.10,,,,,,15,38,1.24,,,110
2014-1-23,56,50,43,,46,,96,82,61,,30.32,,,,,,11,34,0.17,,,170
2014-1-24,48,43,38,,40,,96,90,77,,30.34,,,,,,2,11,0.00,,,330
